GENDER,ETHNICITY,PARENTAL LEVEL OF EDUCATION,LUNCH,TEST PREPARATION COURSE,MATH SCORE,READING SCORE,WRITING SCORE
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,62,67,67
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,77,67,64
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,69,66,61
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,43,60,58
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,90,87,85
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,74,77,73
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,73,66,63
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,55,71,69
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,65,69,67
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,80,63,63
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,50,60,60
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,63,73,71
FEMALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,77,85,87
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,73,74,61
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,81,72,77
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,66,76,68
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,52,57,50
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,69,78,76
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,65,84,84
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,COMPLETED,69,77,78
FEMALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,50,64,66
FEMALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,73,78,76
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,70,82,76
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,81,75,78
MALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,63,61,60
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,67,72,74
MALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,60,68,60
MALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,62,55,54
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,29,40,44
MALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,62,66,68
FEMALE,GROUP E,MASTER'S DEGREE,STANDARD,COMPLETED,94,99,100
MALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,85,75,68
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,77,78,73
MALE,GROUP A,HIGH SCHOOL,FREE/REDUCED,NONE,53,58,44
MALE,GROUP E,SOME COLLEGE,FREE/REDUCED,NONE,93,90,83
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,49,53,53
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,73,76,78
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,66,74,81
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,77,77,73
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,49,63,56
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,79,89,86
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,75,82,90
FEMALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,59,72,70
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,57,78,79
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,66,66,59
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,COMPLETED,79,81,82
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,57,67,72
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,COMPLETED,87,84,87
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,63,64,67
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,59,63,64
MALE,GROUP A,BACHELOR'S DEGREE,FREE/REDUCED,NONE,62,72,65
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,46,34,36
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,66,59,52
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,89,87,79
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,42,61,58
MALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,93,84,90
FEMALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,80,85,85
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,98,100,99
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,81,81,84
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,60,70,74
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,76,94,87
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,73,78,72
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,96,96,99
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,76,76,74
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,91,73,80
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,62,72,70
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,55,59,59
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,74,90,88
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,50,48,42
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,47,43,41
MALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,81,74,71
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,65,75,77
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,68,51,57
FEMALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,73,92,84
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,53,39,37
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,68,77,80
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,55,46,43
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,87,89,94
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,55,47,44
FEMALE,GROUP E,SOME COLLEGE,FREE/REDUCED,NONE,53,58,57
MALE,GROUP C,MASTER'S DEGREE,STANDARD,NONE,67,57,59
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,92,79,84
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,53,66,73
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,81,71,73
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,61,60,55
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,80,73,72
FEMALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,37,57,56
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,81,84,82
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,59,73,72
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,55,55,47
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,72,79,74
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,69,75,71
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,69,64,68
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,NONE,50,60,59
MALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,87,84,86
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,71,69,68
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,68,72,65
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,79,77,75
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,77,90,85
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,58,55,53
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,84,95,92
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,55,58,52
MALE,GROUP E,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,70,68,72
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,52,59,65
MALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,69,77,77
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,53,72,64
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,48,58,54
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,78,81,86
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,62,62,63
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,60,63,59
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,74,72,72
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,58,75,77
MALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,76,62,60
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,68,71,75
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,NONE,58,60,57
MALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,52,48,49
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,75,73,74
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,52,67,72
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,NONE,62,78,79
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,66,65,60
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,NONE,49,58,55
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,66,72,70
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,35,44,43
FEMALE,GROUP A,SOME COLLEGE,STANDARD,COMPLETED,72,79,82
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,94,85,82
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,46,56,57
FEMALE,GROUP B,MASTER'S DEGREE,STANDARD,NONE,77,90,84
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,COMPLETED,76,85,82
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,52,59,62
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,91,81,79
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,32,51,44
FEMALE,GROUP E,SOME HIGH SCHOOL,FREE/REDUCED,NONE,72,79,77
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,19,38,32
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,68,65,61
FEMALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,NONE,52,65,61
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,48,62,60
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,60,66,70
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,66,74,69
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,89,84,77
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,42,52,51
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,57,68,73
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,70,70,70
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,70,84,81
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,69,60,54
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,52,55,57
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,67,73,68
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,76,80,73
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,87,94,95
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,82,85,87
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,73,76,78
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,NONE,75,81,74
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,64,74,75
FEMALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,NONE,41,45,40
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,90,75,69
MALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,59,54,51
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,NONE,51,31,36
MALE,GROUP A,HIGH SCHOOL,FREE/REDUCED,NONE,45,47,49
FEMALE,GROUP C,MASTER'S DEGREE,STANDARD,COMPLETED,54,64,67
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,87,84,76
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,72,80,83
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,94,86,87
FEMALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,45,59,64
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,61,70,76
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,60,72,68
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,77,91,88
FEMALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,85,90,92
FEMALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,78,90,93
MALE,GROUP E,SOME COLLEGE,FREE/REDUCED,COMPLETED,49,52,51
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,71,87,82
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,48,58,52
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,62,67,58
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,56,68,70
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,65,69,76
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,69,86,81
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,68,54,53
FEMALE,GROUP A,SOME COLLEGE,FREE/REDUCED,NONE,61,60,57
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,74,86,89
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,64,60,58
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,77,82,89
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,58,50,45
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,60,64,74
MALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,73,64,57
FEMALE,GROUP A,HIGH SCHOOL,STANDARD,COMPLETED,75,82,79
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,58,57,53
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,66,77,73
FEMALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,39,52,46
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,64,58,51
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,COMPLETED,23,44,36
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,74,77,76
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,40,65,64
MALE,GROUP E,MASTER'S DEGREE,STANDARD,NONE,90,85,84
MALE,GROUP C,MASTER'S DEGREE,STANDARD,COMPLETED,91,85,85
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,64,54,50
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,59,72,68
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,80,75,69
MALE,GROUP C,MASTER'S DEGREE,STANDARD,NONE,71,67,67
FEMALE,GROUP A,HIGH SCHOOL,STANDARD,NONE,61,68,63
FEMALE,GROUP E,SOME COLLEGE,STANDARD,NONE,87,85,93
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,82,67,61
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,62,64,55
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,97,97,96
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,75,68,65
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,65,79,81
MALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,52,49,46
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,87,73,72
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,53,62,53
FEMALE,GROUP E,MASTER'S DEGREE,FREE/REDUCED,NONE,81,86,87
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,39,42,38
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,71,71,80
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,97,93,91
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,82,82,88
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,59,53,52
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,61,42,41
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,78,74,72
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,49,51,51
MALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,59,58,47
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,70,72,76
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,82,84,78
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,90,90,82
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,NONE,43,62,61
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,80,64,66
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,81,82,84
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,57,61,54
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,59,72,80
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,64,76,74
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,63,64,66
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,COMPLETED,71,70,70
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,64,73,71
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,55,46,44
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,51,51,54
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,62,76,80
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,93,100,95
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,54,72,59
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,69,65,74
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,44,51,48
FEMALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,86,85,91
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,85,92,85
FEMALE,GROUP A,MASTER'S DEGREE,FREE/REDUCED,NONE,50,67,73
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,88,74,75
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,59,62,69
FEMALE,GROUP E,SOME HIGH SCHOOL,FREE/REDUCED,NONE,32,34,38
MALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,36,29,27
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,63,78,79
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,67,54,63
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,65,78,82
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,85,84,89
FEMALE,GROUP C,MASTER'S DEGREE,STANDARD,NONE,73,78,74
FEMALE,GROUP A,HIGH SCHOOL,FREE/REDUCED,COMPLETED,34,48,41
FEMALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,93,100,100
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,67,84,84
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,88,77,77
MALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,57,48,51
FEMALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,79,84,91
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,NONE,67,75,72
MALE,GROUP E,BACHELOR'S DEGREE,STANDARD,COMPLETED,70,64,70
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,50,42,48
FEMALE,GROUP A,SOME COLLEGE,STANDARD,NONE,69,84,82
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,52,61,66
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,47,62,66
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,46,61,55
FEMALE,GROUP E,SOME COLLEGE,STANDARD,NONE,68,70,66
MALE,GROUP E,BACHELOR'S DEGREE,STANDARD,COMPLETED,100,100,100
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,44,61,52
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,57,77,80
MALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,91,96,91
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,69,70,67
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,35,53,46
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,72,66,66
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,54,65,65
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,74,70,69
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,74,64,60
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,64,56,52
FEMALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,65,61,71
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,46,43,44
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,48,56,51
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,67,74,70
MALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,62,57,62
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,61,71,73
MALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,70,75,74
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,98,87,90
MALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,70,63,58
MALE,GROUP A,ASSOCIATE'S DEGREE,STANDARD,NONE,67,57,53
FEMALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,NONE,57,58,57
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,85,81,85
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,77,68,69
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,72,66,72
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,78,91,96
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,81,66,64
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,61,62,61
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,58,68,61
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,54,61,58
MALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,82,82,80
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,49,58,60
MALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,49,50,52
FEMALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,COMPLETED,57,75,73
MALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,94,73,71
FEMALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,75,77,83
FEMALE,GROUP E,SOME HIGH SCHOOL,FREE/REDUCED,NONE,74,74,72
MALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,58,52,54
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,62,69,69
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,72,57,62
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,84,87,81
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,92,100,100
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,45,63,59
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,75,81,71
FEMALE,GROUP A,SOME COLLEGE,STANDARD,NONE,56,58,64
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,48,54,53
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,100,100,100
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,65,76,75
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,72,57,58
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,62,70,72
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,66,68,64
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,63,63,60
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,68,76,67
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,75,84,80
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,89,100,100
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,COMPLETED,78,72,69
FEMALE,GROUP A,HIGH SCHOOL,FREE/REDUCED,COMPLETED,53,50,60
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,49,65,61
FEMALE,GROUP A,SOME COLLEGE,STANDARD,NONE,54,63,67
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,64,82,77
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,60,62,60
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,62,65,58
MALE,GROUP D,HIGH SCHOOL,STANDARD,COMPLETED,55,41,48
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,91,95,94
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,8,24,23
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,81,78,78
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,79,85,86
